Ref,Qty,Value,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,Description,MF_Name,MF_PN,S1_Name,S1_PN
R10,1,10K,RES-TRIMPOT-TTELEC-P160-TH,Wickerlib,TRIMPOT-10K-3PIN-TH-0.20W-P160KN,wickerlib,http://www.bitechnologies.com/pdfs/p160.pdf,POT 10K OHM 1/5W PLASTIC LINEAR,TT Electronics,P160KN-0QC15B10K,Digikey,987-1301-ND
R11,1,4.7K,RES-CARBONFILM-7MM,Wickerlib,RES-4.7K-5%-1/4W-TH-CFMINI,wickerlib,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,RES 4.7K OHM 1/4W 5% CF MINI,Stackpole,CFM14JT4K70,Digikey,S4.7KQCT-ND
R12,1,2.2K,RES-CARBONFILM-7MM,Wickerlib,RES-2.2K-5%-1/4W-CF,wickerlib,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,RES 2.2K OHM 1/4W 5% CARBON FILM,Stackpole,CF14JT2K20,Digikey,CF14JT2K20CT-ND
R13,1,1K,RES-CARBONFILM-7MM,Wickerlib,RES-1K-5%-1/4W-TH-CFMINI,wickerlib,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,RES 1K OHM 1/4W 5% CF MINI,Stackpole,CFM14JT1K00,Digikey,S1KQCT-ND
R4,1,3.3k,RES-CARBONFILM-7MM,Wickerlib,RES-3.3K-5%-1/4W-CF,wickerlib,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,RES 3.3K OHM 1/4W 5% CARBON FILM,Stackpole,CF14JT3K30,Digikey,CF14JT3K30CT-ND
R5 R1,2,10M,RES-CARBONFILM-7MM,Wickerlib,RES-10M-5%-1/4W-CF,wickerlib,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,RES 10M OHM 1/4W 5% CARBON FILM,Stackpole,CF14JT10M0CT-ND,Digikey,CF14JT10M0CT-ND
R6 R2 R3,3,100K,RES-CARBONFILM-7MM,Wickerlib,RES-100K-5%-1/4W-CF,wickerlib,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,RES 100K OHM 1/4W 5% CARBON FILM,Stackpole,CF14JT100K,Digikey,CF14JT100KCT-ND
R7,1,10,RES-CARBONFILM-7MM,Wickerlib,RES-10-5%-1/4W-CF,wickerlib,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,RES 10 OHM 1/4W 5% CARBON FILM,Stackpole,CF14JT10R0,Digikey,CF14JT10R0CT-ND
R8,1,10K,RES-CARBONFILM-7MM,Wickerlib,RES-10K-5%-1/4W-TH-CFMINI,wickerlib,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,RES 10K OHM 1/4W 5% CF MINI,Stackpole,CFM14JT10K0,Digikey,S10KQCT-ND
R9 R17,2,33,RES-CARBONFILM-7MM,Wickerlib,RES-33-5%-1/4W-TH-CF,wickerlib,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,RES 33 OHM 1/4W 5% CARBON FILM,Stackpole,CF14JT33R0,Digikey,CF14JT33R0CT-ND
U1,1,MC7809,TO-220-NEUTRAL123-HORZ-LONGPADS,Wickerlib,IC-REG-LDO-9V-1A-MC7809-TO220AB,wickerlib,http://www.onsemi.com/pub_link/Collateral/MC7800-D.PDF,IC REG LDO 9V 1A MC7809 TO220AB,ON Semi,MC7809CTG,Digikey,MC7809CTGOS-ND
U2,1,TLE2426,TO-92-INLINE-NARROW-OVAL,Wickerlib,IC-TLE2426-TO92,wickerlib,http://www.ti.com/lit/ds/symlink/tle2426.pdf,IC VREF GND REF ADJ TO92,TI,TLE2426ILP,Digikey,296-6549-5-ND
U3,1,NJM386,DIP-8-W7.62MM-LONGPADS,Wickerlib,IC-NJM386-DIP8,wickerlib,http://semicon.njr.co.jp/eng/PDF/NJM386_E.pdf,IC AUDIO PWR AMP LOW VOLT 8-DIP,NJR,NJM386D,Digikey,NJM386D-ND
U4,1,TL081CP,DIP-8-W7.62MM-LONGPADS,Wickerlib,IC-OPAMP-TL081CP-DIP8,wickerlib,http://www.ti.com/lit/ds/symlink/tl081a.pdf,IC OPAMP JFET 3MHZ DIP8,TI,TL081CP,Digikey,296-7203-5-ND
